Identifiant station,Nom station,Station en fonctionnement,Capacité de la station,Nombre bornettes libres,Nombre total vélos disponibles,Vélos mécaniques disponibles,Vélos électriques disponibles,Borne de paiement disponible,Retour vélib possible,Actualisation de la donnée,Coordonnées géographiques,Nom communes équipées,Code INSEE communes équipées
19103,Manin - Carrières d'Amérique,OUI,20,16,2,2,0,OUI,OUI,2024-01-26T18:43:13+01:00,"48.88467214209463, 2.3919698596000676",Paris,
41302,Charles de Gaulle - Beauté,OUI,49,43,6,2,4,OUI,OUI,2024-01-26T18:38:39+01:00,"48.83649602312711, 2.479562651149885",Nogent-sur-Marne,
14138,Porte de Vanves,OUI,32,29,3,0,3,OUI,OUI,2024-01-26T18:42:21+01:00,"48.828012849445, 2.3056878894567",Paris,
5018,Mutualité,OUI,37,14,19,10,9,OUI,OUI,2024-01-26T18:44:44+01:00,"48.848225572724, 2.3502873256803",Paris,
46003,Conservatoire de Musique,OUI,25,14,11,7,4,OUI,OUI,2024-01-26T18:44:04+01:00,"48.77093586667601, 2.4034014344215398",Choisy-le-Roi,
43008,Fontenay - Libération,OUI,25,17,7,2,5,OUI,OUI,2024-01-26T18:44:09+01:00,"48.84780306364685, 2.445141971111298",Vincennes,
10024,Buisson Saint-Louis - Saint-Maur,OUI,19,14,3,1,2,OUI,OUI,2024-01-26T18:44:46+01:00,"48.87174684930295, 2.3722528328789854",Paris,
33102,Gabriel Péri - Francisco Ferrer,OUI,18,6,9,1,8,OUI,OUI,2024-01-26T18:44:33+01:00,"48.88633710236977, 2.407338917255402",Le Pré-Saint-Gervais,
13001,Port-Royal - Hôpital du Val-de-Grâce,OUI,18,11,7,3,4,OUI,OUI,2024-01-26T18:44:31+01:00,"48.837668272811, 2.3448138346607",Paris,
21212,Marne - Germain Dardan,OUI,22,19,1,0,1,OUI,OUI,2024-01-26T18:43:58+01:00,"48.81217465201, 2.3035024699104",Montrouge,
8045,Place de la Reine Astrid,OUI,54,31,16,9,7,OUI,OUI,2024-01-26T18:44:53+01:00,"48.864920982538, 2.3025491823859",Paris,
5004,Saint-Jacques - Val de Grâce,OUI,19,15,4,2,2,OUI,OUI,2024-01-26T18:44:24+01:00,"48.8417514, 2.3413893",Paris,
8017,Rocher - Laborde,OUI,65,50,13,11,2,OUI,OUI,2024-01-26T18:43:47+01:00,"48.87590240712654, 2.322616316378116",Paris,
12114,Victor Hugo - Jeanne Jugan,OUI,28,23,4,2,2,OUI,OUI,2024-01-26T18:41:37+01:00,"48.843949064031825, 2.415081394834419",Paris,
15054,Lecourbe - Jean Maridor,OUI,19,4,15,8,7,OUI,OUI,2024-01-26T18:44:56+01:00,"48.83796366147599, 2.2877392172813416",Paris,
41209,Cimetière de Fontenay-sous-Bois,OUI,15,14,1,0,1,OUI,OUI,2024-01-26T18:35:29+01:00,"48.84706173362218, 2.4787822365760808",Fontenay-sous-Bois,
15106,Grenelle - Violet,OUI,35,13,18,14,4,OUI,OUI,2024-01-26T18:44:31+01:00,"48.84993035512154, 2.294612042605877",Paris,
21312,Lucie Aubrac - Fort,OUI,30,30,0,0,0,OUI,OUI,2024-01-26T18:36:58+01:00,"48.818144834008976, 2.271184623241425",Issy-les-Moulineaux,
5124,Erasme - Ulm,OUI,24,21,2,0,2,OUI,OUI,2024-01-26T18:44:50+01:00,"48.84264375274712, 2.3445946723222733",Paris,
